id,city,province,country,zipCode,type,hasAirCondition,hasGarden,hasPool,isCloseToBeach,dailyPrice,currency,roomsNumber
zZC8U,city66,province2,country,VUlxr,studio,true,false,true,true,14.92,$,0
hkulz,city43,province27,India,AJ3Lr,Deluxe,true,false,true,false,27.53,$,1
192j0,city18,province59,Egypt,LdRet,Villa,true,true,true,true,19.31,$,1
6vGRY,city24,province76,UK,nVA3L,Single Floor,false,false,true,false,7.38,$,0
IazHB,city39,province8,France,UeOYx,bungalow,true,true,true,false,37.28,$,0
SWAUg,city70,province34,Thailand,smqgw,bungalow,false,false,true,true,23.51,$,3
33mEY,city55,province60,Russia,4kiKD,Deluxe,false,true,true,true,8.19,$,0
Jizdl,city0,province80,China,MS3Nj,Villa,true,false,false,false,27.45,$,0
9tJQT,city44,province61,South Africa,GJp1C,Single Floor,true,true,true,true,53.54,$,0
Iw7Wq,city92,province88,country,GpnZB,bungalow,false,true,true,true,62.44,$,2
ISL8G,city65,province54,India,rcG87,bungalow,false,true,false,true,88.02,$,2
U70Ue,city12,province55,Egypt,vYUvH,Deluxe,true,true,false,false,90.38,$,3
JJ1VT,city42,province12,UK,u8FBO,Villa,true,false,true,false,88.07,$,2
Ltatt,city91,province7,France,HaiMl,Single Floor,true,false,false,true,36.86,$,1
8REUp,city70,province89,Thailand,kC35Q,bungalow,false,false,true,true,41.32,$,1
fToiv,city32,province80,Russia,ythUN,bungalow,false,true,false,false,69.74,$,0
62N6i,city71,province8,China,z2JdC,Deluxe,true,false,true,true,18.79,$,0
L3cya,city31,province6,South Africa,liYk3,Villa,false,true,false,false,49.38,$,1
G0RR2,city77,province77,country,ydEVY,Single Floor,true,true,true,true,1.38,$,0
FJF1A,city6,province82,India,adQXP,bungalow,true,true,true,true,13.77,$,0
lgRv6,city68,province47,Egypt,QIqNL,bungalow,false,true,true,false,97.41,$,0
HzUbw,city57,province83,UK,FfaLj,Deluxe,false,true,true,false,63.73,$,1
fXiCw,city71,province86,France,I4GLP,Villa,false,false,false,true,77.78,$,3
FRdyd,city9,province73,Thailand,b69rQ,Single Floor,false,false,true,false,81.62,$,3
teld1,city75,province95,Russia,bvdqK,bungalow,true,true,false,true,99.16,$,0
VjK0C,city53,province78,China,bIbhg,bungalow,true,true,true,false,58.25,$,3
